score, v[0], v[1], v[2]
3, 0, 1, 2
4, 0, 1, 3
5, 0, 1, 4
5, 0, 2, 3
6, 0, 1, 5
6, 0, 2, 4
6, 1, 2, 3
7, 0, 1, 6
7, 0, 2, 5
7, 0, 3, 4
7, 1, 2, 4
8, 0, 1, 7
8, 0, 2, 6
8, 0, 3, 5
8, 1, 2, 5
8, 1, 3, 4
9, 0, 1, 8
9, 0, 2, 7
9, 0, 3, 6
9, 0, 4, 5
9, 1, 2, 6
9, 1, 3, 5
9, 2, 3, 4
10, 0, 1, 9
10, 0, 2, 8
10, 0, 3, 7
10, 0, 4, 6
10, 1, 2, 7
10, 1, 3, 6
10, 1, 4, 5
10, 2, 3, 5
11, 0, 1, 10
11, 0, 2, 9
11, 0, 3, 8
11, 0, 4, 7
11, 0, 5, 6
11, 1, 2, 8
11, 1, 3, 7
11, 1, 4, 6
11, 2, 3, 6
11, 2, 4, 5
12, 0, 1, 11
12, 0, 2, 10
12, 0, 3, 9
12, 0, 4, 8
12, 0, 5, 7
12, 1, 2, 9
12, 1, 3, 8
12, 1, 4, 7
12, 1, 5, 6
12, 2, 3, 7
12, 2, 4, 6
12, 3, 4, 5
13, 0, 1, 12
13, 0, 2, 11
13, 0, 3, 10
13, 0, 4, 9
13, 0, 5, 8
13, 0, 6, 7
13, 1, 2, 10
13, 1, 3, 9
13, 1, 4, 8
13, 1, 5, 7
13, 2, 3, 8
13, 2, 4, 7
13, 2, 5, 6
13, 3, 4, 6
14, 0, 1, 13
14, 0, 2, 12
14, 0, 3, 11
14, 0, 4, 10
14, 0, 5, 9
14, 0, 6, 8
14, 1, 2, 11
14, 1, 3, 10
14, 1, 4, 9
14, 1, 5, 8
14, 1, 6, 7
14, 2, 3, 9
14, 2, 4, 8
14, 2, 5, 7
14, 3, 4, 7
14, 3, 5, 6
15, 0, 1, 14
15, 0, 2, 13
15, 0, 3, 12
15, 0, 4, 11
15, 0, 5, 10
15, 0, 6, 9
15, 0, 7, 8
15, 1, 2, 12
15, 1, 3, 11
15, 1, 4, 10
15, 1, 5, 9
15, 1, 6, 8
15, 2, 3, 10
15, 2, 4, 9
15, 2, 5, 8
15, 2, 6, 7
15, 3, 4, 8
15, 3, 5, 7
15, 4, 5, 6
16, 0, 1, 15
16, 0, 2, 14
16, 0, 3, 13
16, 0, 4, 12
16, 0, 5, 11
16, 0, 6, 10
16, 0, 7, 9
16, 1, 2, 13
16, 1, 3, 12
16, 1, 4, 11
16, 1, 5, 10
16, 1, 6, 9
16, 1, 7, 8
16, 2, 3, 11
16, 2, 4, 10
16, 2, 5, 9
16, 2, 6, 8
16, 3, 4, 9
16, 3, 5, 8
16, 3, 6, 7
16, 4, 5, 7
17, 0, 1, 16
17, 0, 2, 15
17, 0, 3, 14
17, 0, 4, 13
17, 0, 5, 12
17, 0, 6, 11
17, 0, 7, 10
17, 0, 8, 9
17, 1, 2, 14
17, 1, 3, 13
17, 1, 4, 12
17, 1, 5, 11
17, 1, 6, 10
17, 1, 7, 9
17, 2, 3, 12
17, 2, 4, 11
17, 2, 5, 10
17, 2, 6, 9
17, 2, 7, 8
17, 3, 4, 10
17, 3, 5, 9
17, 3, 6, 8
17, 4, 5, 8
17, 4, 6, 7
18, 0, 1, 17
18, 0, 2, 16
18, 0, 3, 15
18, 0, 4, 14
18, 0, 5, 13
18, 0, 6, 12
18, 0, 7, 11
18, 0, 8, 10
18, 1, 2, 15
18, 1, 3, 14
18, 1, 4, 13
18, 1, 5, 12
18, 1, 6, 11
18, 1, 7, 10
18, 1, 8, 9
18, 2, 3, 13
18, 2, 4, 12
18, 2, 5, 11
18, 2, 6, 10
18, 2, 7, 9
18, 3, 4, 11
18, 3, 5, 10
18, 3, 6, 9
18, 3, 7, 8
18, 4, 5, 9
18, 4, 6, 8
18, 5, 6, 7
19, 0, 1, 18
19, 0, 2, 17
19, 0, 3, 16
19, 0, 4, 15
19, 0, 5, 14
19, 0, 6, 13
19, 0, 7, 12
19, 0, 8, 11
